Genome,GenomeName,Proteins,Reference,Size_Kb,realm_reference,realm_prediction,kingdom_reference,kingdom_prediction,phylum_reference,phylum_prediction,class_reference,class_prediction,order_reference,order_prediction,family_reference,family_prediction,subfamily_reference,subfamily_prediction,genus_reference,genus_prediction
OX460980_Vequintavirinae_sp_EcoIv14a_Ay,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_7_of_novel_order_46_of_Caudoviricetes,,Vequintavirinae,,Vequintavirus
NC_021067.1,Vibrio phage helene 12B3,263,True,135.982,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_8_of_novel_order_46_of_Caudoviricetes
NC_029067.1,Vibrio phage eugene 12A10,251,True,138.234,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_8_of_novel_order_46_of_Caudoviricetes
NC_020843.1,Vibrio phage 11895-B1,196,True,126.434,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_1_of_novel_family_8_of_novel_order_46_of_Caudoviricetes
NC_020863.1,Vibrio phage PWH3a-P1,209,True,129.155,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_2_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_2_of_novel_family_8_of_novel_order_46_of_Caudoviricetes
NC_029057.1,Vibrio phage qdvp001,227,True,134.742,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_2_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_2_of_novel_family_8_of_novel_order_46_of_Caudoviricetes
NC_015157.1,Vibrio phage ICP1,230,True,125.956,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_8_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_3_of_novel_family_8_of_novel_order_46_of_Caudoviricetes,Mohonavirus,Mohonavirus
NC_047839.1,Pseudoalteromonas phage J2-1,95,True,120.295,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_9_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_9_of_novel_order_46_of_Caudoviricetes,Qingdaovirus,Qingdaovirus
NC_029094.1,Pseudoalteromonas phage H101,228,True,131.903,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_46_of_Caudoviricetes,,novel_family_9_of_novel_order_46_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_9_of_novel_order_46_of_Caudoviricetes,Shandongvirus,Shandongvirus
NC_024369.2,Vibrio phage X29,67,True,41.569,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_0_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_47_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_47_of_Caudoviricetes
NC_047914.1,Faecalibacterium phage FP_Taranis,85,True,54.286,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_0_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_0_of_novel_order_47_of_Caudoviricetes,Taranisvirus,Taranisvirus
NC_047915.1,Faecalibacterium phage FP_Toutatis,89,True,54.725,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_0_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_2_of_novel_family_0_of_novel_order_47_of_Caudoviricetes,Toutatisvirus,Toutatisvirus
NC_047911.1,Faecalibacterium phage FP_Lagaffe,65,True,48.211,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_1_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_1_of_novel_order_47_of_Caudoviricetes,Lagaffevirus,Lagaffevirus
NC_047910.1,Faecalibacterium phage FP_Epona,76,True,49.573,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_2_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_2_of_novel_order_47_of_Caudoviricetes,Eponavirus,Eponavirus
NC_047909.1,Faecalibacterium phage FP_Brigit,94,True,61.716,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_3_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_3_of_novel_order_47_of_Caudoviricetes,Brigitvirus,Brigitvirus
NC_047912.1,Faecalibacterium phage FP_Lugh,42,True,34.075,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_47_of_Caudoviricetes,,novel_family_4_of_novel_order_47_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_4_of_novel_order_47_of_Caudoviricetes,Lughvirus,Lughvirus
NC_041947.1,Arthrobacter phage Laroye,99,True,60.005,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_48_of_Caudoviricetes,,novel_family_0_of_novel_order_48_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_48_of_Caudoviricetes,Laroyevirus,Laroyevirus
NC_055032.1,Arthrobacter phage LiSara,96,True,60.137,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_48_of_Caudoviricetes,,novel_family_0_of_novel_order_48_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_48_of_Caudoviricetes,Laroyevirus,Laroyevirus
NC_055033.1,Arthrobacter phage Salgado,99,True,59.807,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_48_of_Caudoviricetes,,novel_family_0_of_novel_order_48_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_48_of_Caudoviricetes,Laroyevirus,Laroyevirus
NC_055034.1,Arthrobacter phage Wheelbite,94,True,59.879,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_48_of_Caudoviricetes,,novel_family_0_of_novel_order_48_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_48_of_Caudoviricetes,Laroyevirus,Laroyevirus
OP072332_Akedovirus_sp_isolate_2520_675,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_49_of_Caudoviricetes,,novel_family_0_of_novel_order_49_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_49_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_49_of_Caudoviricetes
OP073416_Shienvirus_sp_isolate_0727_113,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_49_of_Caudoviricetes,,novel_family_0_of_novel_order_49_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_0_of_novel_order_49_of_Caudoviricetes,,novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_49_of_Caudoviricetes
PP754928_Porphyromonas_phage_phage005b_,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_49_of_Caudoviricetes,,novel_family_1_of_novel_order_49_of_Caudoviricetes,,novel_subfamily_0_of_novel_family_1_of_novel_order_49_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_49_of_Caudoviricetes
NC_019490.1,Riemerella phage RAP44,80,True,49.329,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_49_of_Caudoviricetes,,novel_family_1_of_novel_order_49_of_Caudoviricetes,,novel_subfamily_1_of_novel_family_1_of_novel_order_49_of_Caudoviricetes,,novel_genus_0_of_novel_subfamily_1_of_novel_family_1_of_novel_order_49_of_Caudoviricetes
NC_025457.1,Acinetobacter phage vB_AbaP_Acibel007,53,True,42.654,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Daemvirus,Daemvirus
NC_021316.1,Acinetobacter phage Abp1,54,True,42.185,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_021337.1,Acinetobacter phage AB3,29,True,31.185,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_028675.1,Acinetobacter phage phiAB1,46,True,41.526,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_028679.1,Acinetobacter phage vB_AbaP_PD-AB9,48,True,40.938,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_028684.1,Acinetobacter phage vB_AbaP_PD-6A3,48,True,41.563,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_028848.1,Acinetobacter phage Fri1,54,True,41.805,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_028987.2,Acinetobacter phage IME-200,54,True,41.243,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_031086.1,Acinetobacter phage phiAB6,45,True,40.57,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_041905.1,Acinetobacter phage SH-Ab 15519,51,True,40.493,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_041914.1,Acinetobacter phage vB_AbaP_AS12,49,True,41.402,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_041915.1,Acinetobacter phage vB_AbaP_AS11,51,True,41.642,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_041967.1,Acinetobacter phage WCHABP5,47,True,40.409,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042003.1,Acinetobacter phage vB_AbaP_B1,51,True,40.879,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042004.1,Acinetobacter phage vB_AbaP_B3,49,True,40.598,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042005.1,Acinetobacter phage vB_AbaP_B5,53,True,41.608,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042006.1,Acinetobacter phage vB_ApiP_P1,49,True,41.208,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042007.1,Acinetobacter phage vB_ApiP_P2,54,True,41.514,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_042124.1,Acinetobacter phage vB_AbaP_D2,47,True,39.964,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_047883.1,Acinetobacter phage SWH-Ab-3,49,True,41.73,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_047896.1,Acinetobacter phage SWH-Ab-1,48,True,41.567,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_048076.1,Acinetobacter phage vB_AbaP_46-62_Aci07,52,True,42.33,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_048081.1,Acinetobacter phage vB_AbaP_B09_Aci08,53,True,42.067,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
NC_048142.1,Acinetobacter phage AbKT21phiIII,42,True,40.898,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Friunavirus,Friunavirus
OP291336_Acinetobacter_phage_AIIMS-AbE5,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Beijerinckvirinae,,Friunavirus
OQ378314_Acinetobacter_phage_F70-K44,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Beijerinckvirinae,,Friunavirus
OQ451773_Acinetobacter_phage_vB_AP_P148,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Beijerinckvirinae,,Friunavirus
OQ858591_Acinetobacter_phage_vB_AbaAut_,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Beijerinckvirinae,,Friunavirus
OQ982387_Acinetobacter_phage_vB_Ab-P-7,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Beijerinckvirinae,,Friunavirus
NC_023570.1,Acinetobacter phage Petty,45,True,40.739,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Beijerinckvirinae,Beijerinckvirinae,Pettyvirus,Pettyvirus
NC_027330.1,Escherichia phage ECBP5,62,True,45.403,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,,Colwellvirinae,Gajwadongvirus,Gajwadongvirus
NC_047802.1,Pectobacterium phage PP99,56,True,44.609,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,,Colwellvirinae,Gajwadongvirus,Gajwadongvirus
NC_025822.1,Vibrio phage phi-A318,46,True,42.544,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Kaohsiungvirus,Kaohsiungvirus
NC_047737.1,Vibrio phage AS51,34,True,42.542,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Kaohsiungvirus,Kaohsiungvirus
NC_047803.1,Vibrio phage Vp670,49,True,43.121,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Kaohsiungvirus,Kaohsiungvirus
OQ745668_Vibrio_phage_vB_ValS_R15Z,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Colwellvirinae,,Kaohsiungvirus
PP430129_Vibrio_phage_Va-ZX-1,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Colwellvirinae,,Kaohsiungvirus
NC_047821.1,Marinomonas phage CPP1m,50,True,44.245,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Murciavirus,Murciavirus
NC_047836.1,Marinomonas phage CB5A,54,True,45.385,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Murciavirus,Murciavirus
NC_047903.1,Vibrio phage VEN,55,True,44.603,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Trungvirus,Trungvirus
NC_047894.1,Pseudomonas phage uligo,46,True,47.868,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Uliginvirus,Uliginvirus
NC_047954.1,Pseudomonas phage Njord,44,True,46.644,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Uliginvirus,Uliginvirus
NC_047955.1,Pseudomonas phage Nerthus,45,True,45.779,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Uliginvirus,Uliginvirus
NC_047956.1,Pseudomonas phage Achelous,47,True,46.585,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Uliginvirus,Uliginvirus
NC_047957.1,Pseudomonas phage Alpheus,47,True,45.756,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Colwellvirinae,Colwellvirinae,Uliginvirus,Uliginvirus
OR591532_Klebsiella_phage_KL01,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,novel_order_4_of_Caudoviricetes,,Autographiviridae,,Colwellvirinae,,novel_genus_0_of_Colwellvirinae
NC_030923.1,Pseudomonas phage YMC11/06/C171_PPU_BP,49,True,45.417,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Kantovirus,Kantovirus
NC_031068.2,Pectobacterium phage PP16,57,True,44.268,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Kotilavirus,Kotilavirus
NC_047758.1,Pectobacterium phage PPWS1,55,True,44.539,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Kotilavirus,Kotilavirus
NC_048103.1,Pectobacterium phage PPWS2,60,True,44.716,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Kotilavirus,Kotilavirus
NC_029081.1,Pectobacterium phage Peat1,61,True,45.633,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Phimunavirus,Phimunavirus
NC_031096.1,Pectobacterium phage PP90,56,True,44.57,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Phimunavirus,Phimunavirus
NC_041854.1,Pectobacterium phage PhiM1,52,True,43.827,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Phimunavirus,Phimunavirus
NC_042131.1,Pectobacterium phage vB_PatP_CB5,59,True,44.549,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,novel_order_4_of_Caudoviricetes,Autographiviridae,Autographiviridae,Corkvirinae,Corkvirinae,Phimunavirus,Phimunavirus
